K,solver,objective,selected,nodes,nodes_pruned,solver_calls,time,root_ub,gap,gap_pct,avg_latency,avg_local_only,reduction,completed
35,B&B+MINOS,59.95191643770946,"[3, 7, 26, 33]",711,356.0,484.0,42.31729879998602,59.975958218854736,0.0,0.0,4.569928366868439,6.282840265088708,1.712911898220269,True
35,SCIP,59.951916437709464,"[3, 7, 26, 33]",1,,,0.00680049997754395,,0.0,0.0,4.569928366868439,6.282840265088708,1.712911898220269,True
35,Couenne,59.951916437709464,"[3, 7, 26, 33]",0,,,0.07018760009668767,,0.0,0.0,4.569928366868439,6.282840265088708,1.712911898220269,True
40,B&B+IPOPT,59.43963921771864,"[20, 34]",245,123.0,130.0,11.20969139994122,60.00000529106996,0.0,0.0,5.951906525989271,7.437897506432236,1.4859909804429652,True
40,B&B+MINOS,59.43963921771864,"[20, 34]",883,442.0,706.0,60.058978100074455,60.00000000000001,0.0,0.0,5.951906525989271,7.437897506432236,1.4859909804429652,True
40,SCIP,59.439639217718636,"[20, 34]",1,,,0.015852199867367744,,0.0,0.0,5.951906525989271,7.437897506432236,1.4859909804429652,True
40,Couenne,59.43963921771864,"[20, 34]",0,,,0.07500479998998344,,0.0,0.0,5.951906525989271,7.437897506432236,1.4859909804429652,True
45,B&B+IPOPT,56.56616248714793,"[13, 27, 41]",613,307.0,398.0,32.389058999950066,60.000005922397904,0.0,0.0,4.850343702701845,6.107369535749576,1.2570258330477309,True
45,B&B+MINOS,56.56616248714793,"[13, 27, 41]",485,243.0,324.0,27.280621699988842,60.0,0.0,0.0,4.850343702701845,6.107369535749576,1.2570258330477309,True
45,SCIP,56.56616248714793,"[13, 27, 41]",1,,,0.0256373998709023,,0.0,0.0,4.850343702701845,6.107369535749576,1.2570258330477309,True
45,Couenne,56.566162487147935,"[13, 27, 41]",0,,,0.07628239993937314,,0.0,0.0,4.850343702701845,6.107369535749576,1.2570258330477309,True
50,B&B+IPOPT,59.484208625226415,"[36, 38]",1057,529.0,638.0,56.30978659982793,60.00000560620869,0.0,0.0,5.944161775807239,7.133845948311768,1.1896841725045286,True
50,B&B+MINOS,59.484208625226415,"[36, 38]",111,56.0,59.0,5.401352199958637,60.0,0.0,0.0,5.944161775807239,7.133845948311768,1.1896841725045286,True
50,SCIP,59.484208625226415,"[36, 38]",1,,,0.018538899952545762,,0.0,0.0,5.944161775807239,7.133845948311768,1.1896841725045286,True
50,Couenne,59.484208625226415,"[36, 38]",0,,,0.07732050004415214,,0.0,0.0,5.944161775807239,7.133845948311768,1.1896841725045286,True
